,text
0,Check out what I just added to my closet on Poshmark: NIKE ZOOM PEGASUS TURBO 2 Black/Plum/Gold. https://poshmark.com/listing/5f2dacc36f6c91c1babd2065?utm_campaign=referral_code%3DLALJ1215&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_cl_ios%26rfuid%3Dext1%3Ad0544cff-6b6f-439f-ae18-244515add987%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset
1,"🔥Price : IDR 600.000,-🔥 • NIKE ZOOM X PEGASUS 2 TURBO ""GREEN"" • PREMIUM HIGH QUALITY • SIZE 40 41 42 43 44. __________________________________________________ ➡️ FREE ONGKIR ➡️ REAL PICTURE ➡️ WRAPPER ➡️ BNIB (Brand… https://www.instagram.com/p/CDlYESogveQ/?igshid=1cketzljsc9h3"
2,Nike Zoom Pegasus Turbo 2 are nice too.
3,Nike zoom Pegasus turbo 2 For sale - 95$dead stock FREE SHIPPING Size 9.5. Dm me if interested #nike #nikeshoes #nikerunning #nikeairforce1 #runningshoes
4,"Pegasus Turbo 2. Zoom fly’s are tougher, I have 5-600 miles on mine and they’re still good."
5,Check out what I just added to my closet on Poshmark: Nike Women’s Zoom Pegasus Turbo 2. https://poshmark.com/listing/5f1c80c560fdedc1f7ec2f49?utm_campaign=referral_code%3DDALCOWBOYS91&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_el_ios%26rfuid%3Dext1%3Ad307f56d-dd7e-4f71-a620-4dd53835a381%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset
6,"@Nike Hey Nike, long time supporter, first time caller. I recently purchased the Nike Zoom X (Pegasus Turbo 2) and the sole is already falling off. Is this a common problem or am I just that fast? 💨 "
7,Check out what I just added to my closet on Poshmark: Nike Women’s Zoom Pegasus Turbo 2. https://poshmark.com/listing/5f1c80c560fdedc1f7ec2f49?utm_campaign=referral_code%3DDALCOWBOYS91&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_el_ios%26rfuid%3Dext1%3Ad307f56d-dd7e-4f71-a620-4dd53835a381%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset
8,@Nike I bought a pair of Nike Pegasus zoom turbo 2 and the sole has come off within 3 months? Are they still under warranty? 
9,Nike Zoom Pegasus Turbo 2 have been my fav running shoes yet. I’m a buy another pair. #Nike
10,Nike Pegasus Turbo 2...THE ZOOM X Available in few pairs.. Call us today 0721286150. #nikepegasusturbo2 https://www.instagram.com/p/CDOtCOag-3c/?igshid=yb1a91ph4uca
11,Check out what I just added to my closet on Poshmark: Nike Women’s Zoom Pegasus Turbo 2. https://poshmark.com/listing/5f1c80c560fdedc1f7ec2f49?utm_campaign=referral_code%3DDALCOWBOYS91&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_el_ios%26rfuid%3Dext1%3Ad307f56d-dd7e-4f71-a620-4dd53835a381%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset
12,Check out what I just added to my closet on Poshmark: Nike Women’s Zoom Pegasus Turbo 2. https://poshmark.com/listing/5f1c80c560fdedc1f7ec2f49?utm_campaign=referral_code%3DDALCOWBOYS91&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_el_ios%26rfuid%3Dext1%3Ad307f56d-dd7e-4f71-a620-4dd53835a381%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset
13,"🔥Price : IDR 600.000,-🔥 • NIKE ZOOM X PEGASUS 2 TURBO ""BLACK WHITE"" • PREMIUM HIGH QUALITY • SIZE 40 41 42 43 44. __________________________________________________ ➡️ FREE ONGKIR ➡️ REAL PICTURE ➡️ WRAPPER ➡️ BNIB… https://www.instagram.com/p/CDG03lTAV1u/?igshid=8x08892siyqv"
14,Check out what I just added to my closet on Poshmark: Nike Women’s Zoom Pegasus Turbo 2. https://poshmark.com/listing/5f1c80c560fdedc1f7ec2f49?utm_campaign=referral_code%3DDALCOWBOYS91&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_cl_ios%26rfuid%3Dext1%3Ad307f56d-dd7e-4f71-a620-4dd53835a381%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset
15,@prodirecthelp hi do you have the nike zoom pegasus turbo 2 white wolf Grey Blue Hero in men's size 10 instock
16,Check out what I just added to my closet on Poshmark: Nike Zoom Pegasus Turbo 2 (Vivid Purple) size 6.5. https://poshmark.com/listing/5f171c4867bd913da508c0a2?utm_campaign=referral_code%3DANCHETAAALIYAH&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_cl_web%26rfuid%3Dext1%3A7ece77e0-ced5-451c-8993-66cc08d3232f%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset
17,"My Nike Zoom Pegasus Turbo 2's did not last at all, not even 3 months... I'm dissapointed 😞 I have pairs of Nikes I've owned for 5+ years that I still run in... @Nike "
18,"Tempo Run (Race Rehearsal) Warm Up 18 mins Easy Jog Goal Pace Tempo Run 4.8km ＊At Around Race Power ＊Out Back ＊Water Supply on the way Cool Down 18 mins Recovery Jog Nike Pegasus Turbo 2 ⇄ Air Zoom Alphafly Next% Flyknit, Cloudy, 23-25℃, 86-92%, 1m/s, – at 所沢航空記念公園"
19,Update: I’m between the Nike Zoom Pegasus Turbo 2 &amp; the Nike Air Zoom Pegasus 37. Thoughts? fwiw I run 2-4miles 1-2x a week &amp; also use my shoes for HIIT bodyweight training everyday. I like em light &amp; flexible 
20,@Nike are you releasing a new Pegasus Zoom Turbo 2? A turbo 3? Can’t get a turbo 2 anywhere.
21,Check out what I just added to my closet on Poshmark: Nike Men's Red Zoom Pegasus Turbo 2 Bright Crimson. https://poshmark.com/listing/5f06929e3a0db9095489acbf?utm_campaign=referral_code%3DDANNYACEDESIGNS&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_el_ios%26rfuid%3Dext1%3A32e951a7-c198-4118-93ea-56b001d386f2%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset
22,Nike Zoom Pegasus Turbo 2 Black White AT2863-001 Unisex Running Shoe Link https://usa.hollysale.com/ad/nike-zoom-pegasus-turbo-2-black-white-at2863-001-unisex-running-shoe/ #USA #HollySaleUSA #Buy #GetApp #America #Sale #Sell #US #HollySale
23,Someone unpacked brand new pair of the Nike Zoom Pegasus Turbo 2 and I can still feel my heart palpitations at the beauty I witnessed
