date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-07-31 23:10:01,SneakerMash,,0,0,0,"ENDS TONIGHT ⏳ OVER 40% OFF 💥 FREE SHIPPING Grab the Nike Air Max 720 ""Total Eclipse"" for $104.99 (Retail $180) Use code 7V5WPWPH at checkout -&gt; https://bit.ly/2KFgaPe",,,,1156703592272879616,https://twitter.com/SneakerMash/status/1156703592272879616
2019-07-31 20:30:05,Shoelosophy,,0,0,0,"NIKE AIR MAX 270 REACT BAUHAUS ART PACK AO4971-100 vapormax 720 1 95 98 97 90 ",,,,1156663341470900224,https://twitter.com/Shoelosophy/status/1156663341470900224
2019-07-31 19:49:30,Sneakerpolitics,,0,3,14,"Available Now! :: Nike Air Max 720 - Wolf Grey/Teal Nebula :: https://sneakerpolitics.com/collections/new/products/nike-air-max-720-wolf-grey-teal-nebula",,,,1156653129947111424,https://twitter.com/Sneakerpolitics/status/1156653129947111424
2019-07-31 19:41:00,solesupplier_,,0,0,2,"RELEASE REMINDER | Launching at 8am GMT Nike Air Max 720 Midnight Navy https://thesolesupplier.co.uk/release-dates/nike/air-max-720/nike-air-max-720-midnight-navy-ao2924-403/",,,,1156650993238642688,https://twitter.com/solesupplier_/status/1156650993238642688
2019-07-31 18:30:18,KicksDealsCA,,1,0,1,"Haven't seen your ideal colourway of the Nike Air Max 720 release yet? Or want to try and remake a past colourway? Well now you can get creative with Nike on the Air Max 720 'By You' that can now be had from Nike CA for $265 + free shipping and returns! https://bit.ly/2ZoA6cM",,,,1156633197377142784,https://twitter.com/KicksDealsCA/status/1156633197377142784
2019-07-31 18:10:59,snkr_twitr,,0,3,13,"Nike Air Max 720 ‘Cool Grey/Bright Crimson’ available via @bstnstore https://bit.ly/2yqaj82 #AD",,@bstnstore,#AD,1156628338225475584,https://twitter.com/snkr_twitr/status/1156628338225475584
2019-07-31 18:05:11,CRSVR,,0,0,1,"Nike Air Max 720 SE || In Ocean Cube/Ocean Cube-Phantom-Vast Grey. Available now in store at our Las Vegas Location. #CRSVR #Nike #AirMax #AirMax720",,,#CRSVR #Nike #AirMax #AirMax720,1156626879299895296,https://twitter.com/CRSVR/status/1156626879299895296
2019-07-31 17:45:11,SLKTN_store,,0,0,0,"RESTOCK! The #Nike Air Max 720 Splatter ""Black/Hyper Crimson"" is available again - instore &amp; online. • 40 - 46 | € 190 shoplink: http://bit.ly/AM720SPLATTER • #nikeairmax #airmax720 #slktn #solekitchen",,,#Nike #nikeairmax #airmax720 #slktn #solekitchen,1156621846856515585,https://twitter.com/SLKTN_store/status/1156621846856515585
2019-07-31 17:01:09,KicksDealsCA,,0,1,6,"Add some big Air to your rotation while saving big with this dope ""Fuel Orange"" colourway of the Nike Air Max 720 that can now be had from our friends at @TheClosetInc for a whopping 40% (discount applied in cart)! You can secure your pair here 👉 https://bit.ly/2GFgrhw",,@TheClosetInc,,1156610763966078976,https://twitter.com/KicksDealsCA/status/1156610763966078976
2019-07-31 16:44:21,snkr_twitr,,0,0,5,"Nike Air Max 720 ‘Wolf Grey/Anthracite’ now available here Finishline http://bit.ly/2Kf5ILJ JDsports http://bit.ly/2yCXR5j #AD",,,#AD,1156606535746723840,https://twitter.com/snkr_twitr/status/1156606535746723840
