,text
27,Price : 399.000 Nike Tanjun Eng Grey White ✔ Available size 36 37 38 39 40 ✔ 100% Original Money Back Guarante BNWB [ Brand New With Box ] ✔ Format Order 📝 ▪ Pesanan : Photo sepatu &amp;… https://www.instagram.com/p/BluUA4NgLBG/?utm_source=ig_twitter_share&amp;igshid=5tvk5j2vaxar
28,Price : 399.000 Nike Tanjun Eng Grey White ✔ Available size 36 37 38 39 40 ✔ 100% Original Money Back Guarante BNWB [ Brand New With Box ] ✔ Format Order 📝 ▪ Pesanan : Photo sepatu &amp;… https://www.instagram.com/p/BluRRvJAIQ5/?utm_source=ig_twitter_share&amp;igshid=13ibh65uwsjgx
29,Nike Tanjun Run Black Gold Size: 40 41 42 43 44 (incl.half size) @750 (exclude shipping) https://www.instagram.com/p/BluJD72DMWQthJG0zy04s4ZqybbHVRkcVpFak00/?utm_source=ig_twitter_share&amp;igshid=pmuc6ksko6xv
30,Mari di order : RESELLER HARGA SPECIAL !!! REAL PICTURE Nike Tanjun Trainer X Off Pink For Women😎😍 IMPORT QUALITY Harga : Rp. 270.000 Include box Size : 36 37 38 39 40 Mau Order 👇👇 *Admin… https://www.instagram.com/p/BluE3sKgwCa/?utm_source=ig_twitter_share&amp;igshid=1neywweysdlxb
31,"Nike Tanjun ""Black Gold"" • Premium Quality • Mesh Nylon Made in Indonesia New + Box Size 40-44 (Men) • Rp. 500.000,- • WA / 081221595602 LINE / @dhz5532o • EST.2016 JSPR/SNKR® IG:… https://www.instagram.com/p/BluABkLH-0f/?utm_source=ig_twitter_share&amp;igshid=j6og7ti3dtmf"
32,I liked a @YouTube video http://youtu.be/-jziX7t5C4E?a NIKE TANJUN RACER 921669
33,I liked a @YouTube video http://youtu.be/CAX-GuEod24?a NEW GYM SHOES? (Nike Tanjun racer review)
34,I need those nike tanjun sport sandals asap
35,Men's Nike Tanjun **New** Best Deal! #newnike #nikemens #nikenew https://ebay.to/2LPV51y
36,Just saw this on Amazon: Nike Men's Tanjun Black/White Running Shoe ... by NIKE for $74.99 https://amzn.to/2LoQjvN via @amazon
37,It's a race to the very end. Men's & Women's Nike Tanjun Racer for $39.98. Today &amp; tomorrow only 🏁 Go! #ShoeCarnival #sneakerhead #run #fitspo https://buff.ly/2NHBh0C
38,NIKE Women's Tanjun Running Shoes http://www.amazon.com/dp/B078H4J4L6/?tag=gorilla02-20 #NIKE
39,Men's Nike Tanjun **New** Best Ever #newnike #nikemens #nikenew https://ebay.to/2LPV51y
40,"Momma's does Lil Johnny what to Get-R-Dun like is daddy? If so, he need these new #Nike Tanjun's in #Camo. Infant thru big boy sizes in stock today! #BackToSchool #TheShoeDog #NaborsShoeCenter"
41,•RESTOCK• NIKE TANJUN RUN BLACK BLACK GOLD Size : 40 41 42 43 44 (Incld Half Size) Price : Rp 380.000 Condition : Brand New Replace Box (BNWB) Order Line@:… https://www.instagram.com/p/Blp8wmCh-0C7hcSr1Pj5JietR_EU9MpdrUy4bA0/?utm_source=ig_twitter_share&amp;igshid=silui9onogju
42,Nike Tanjun shoes 😁 #田中美空 #さくら学院
43,Men's Nike Tanjun **New** Free Postage #newnike #nikemens #nikenew https://ebay.to/2LPV51y
44,Nike – Nike Tanjun All Black http://beauty2u.es/producto/nike-nike-tanjun-all-black
45,Check out what I found on eBay : 917537 600 - WOMEN'S NIKE TANJUN PREM RED http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&amp;toolid=10039&amp;campid=5338330040&amp;item=273261779564&amp;vectorid=229466&amp;lgeo=1
46,Amen for Night Shift + Weekends day off next month. I need some good cash for that Nike Tanjun!
47,Nike Tanjun Racer Casual Sneakers Shoes US12 UK11 Team Red/Black Gym http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&amp;toolid=10039&amp;campid=5338332177&amp;item=123266615514&amp;vectorid=229466&amp;lgeo=1
48,•RESTOCK• NIKE TANJUN RUN FULL WHITE Size : 37 38 39 40 41 42 (Incld Half Size) Price : Rp 350.000 Condition : Brand New Replace Box (BNWB) Order Line@:… https://www.instagram.com/p/BlkNVVbB3hqjuGrWmr0_c3bL_y1kXQP_Z-x8yM0/?utm_source=ig_twitter_share&amp;igshid=1ip37dla4yqtm
49,[READY] NIKE TANJUN RACER BLUE (921669 401) 8 US / 41 EUR / 26 CM 8.5 US / 42 EUR / 26.5 CM ❌SOLD❌ 9 US / 42.5 EUR / 27 CM 9.5 US / 43 EUR / 27.5 CM ❌SOLD❌ IDR… https://www.instagram.com/p/BlkBarVgdJ8t-xj6G8T2veOa2QUhwMo0mjcnuM0/?utm_source=ig_twitter_share&amp;igshid=by3xxcg2vb75
50,I lost my Nike tanjun sandals and I’m sooooooo sad rn
51,$22 #discount Nike Tanjun Racer #preschool Girls’ Sneakers from http://childdeals.com/2018/07/21/kohls-deals-nike-tanjun-racer-preschool-girls-sneakers-22-00-july-21st/ #kids #shoes #Sneakers #sale #deals #bestdeal #amazing
52,I liked a @YouTube video http://youtu.be/rBnoxvD7XVU?a Women’s Nike Tanjun Shoes Review | Fitness Review
53,NIKE Tanjun Racer Mens Style : 921669-402 Size : 11.5 D(M) US #ootd http://sneakers.bobofindit.com/nike-tanjun-racer-mens-style-921669-402-size-11-5-dm-us/
54,"Heard a lot of really good things about Nike Tanjun shoes from a few of my female friends. They have a variety of colors, they are cheaper than $100, and they are decent for casual or sport. "
55,"Key start to fitness👇 Start with tha Shoes! NEW SHOES AND NEW VIDEO Linked in my instagram bio! I give my honest, full review on the Women’s Nike Tanjun Shoes. *I am not sponsored… https://www.instagram.com/p/Blg5RECAOf9/?utm_source=ig_twitter_share&amp;igshid=18j9vj18f7d14"
56,Women’s Nike Tanjun Shoes Review | Fitness Review https://youtu.be/rBnoxvD7XVU via @YouTube #womens #nike #tanjun #shoes #nikeshoes #nikereview #nikeshoesreview #womensnikeshoes #womensnike
57,Nike Tanjun “Black Gold” Size 39-44 Made In Indonesia IDR 449.000 Contact Person Wa 082299464443 Line : @sev0749b #nike #niketanjun #nikeori #nikeflyknittrainer #nikepremium #nikemurah… https://www.instagram.com/p/Blf1nANH1JA/?utm_source=ig_twitter_share&amp;igshid=ovh092ref897
58,Nike Tanjun “Navy White” Size 39-44 Made In Indonesia IDR 449.000 Contact Person Wa 082299464443 Line : @sev0749b #nike #niketanjun #nikeori #nikeflyknittrainer #nikepremium… https://www.instagram.com/p/Blf1kLFnvoq/?utm_source=ig_twitter_share&amp;igshid=19648d9vmqhc9
59,Nike Tanjun “Navy White” Size 39-44 Made In Indonesia IDR 449.000 Contact Person Wa 082299464443 Line : @sev0749b #nike #niketanjun #nikeori #nikeflyknittrainer #nikepremium #nikemurah… https://www.instagram.com/p/Blf1hxTHZiP/?utm_source=ig_twitter_share&amp;igshid=ws52qs9ywgin
60,Nike Tanjun are a good luck about pair of trainers! Cheap too if you get them from Deichmann
61,Check out what I just added to my closet on Poshmark: Nike Tanjun Roshe Running Shoes Size 6 &amp; 6.5. https://poshmark.com/listing/5b52018eda6212320b5c875b?utm_campaign=referral_code%3DWESTCOASTGOODZ&amp;utm_content=feature%3Dsh_l%26rfuid%3D58979da48031c84dfd324798%26ext_trk%3Dbranch&amp;utm_source=tw_sh_pub via @poshmarkapp #shopmycloset
62,•RESTOCK• NIKE TANJUN RUN NAVY WHITE Size : 39 40 41 42 43 (Incld Half Size) Price : Rp 380.000 Condition : Brand New Replace Box (BNWB) Order Line@:… https://www.instagram.com/p/Blcn3Rnh6mi_hLo2I-Vp24e3n2OxlIgEfnbFEU0/?utm_source=ig_twitter_share&amp;igshid=n6hcbc52pgyi
63,"Nike Tanjun White Black going at K12,000. Size 6UK 6.5US "
64,New on eBay : NIKE TANJUN CASUAL SHOES FOR WOMEN NIB SNEAKERS http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&amp;toolid=10039&amp;campid=5338330040&amp;item=232649006191&amp;vectorid=229466&amp;lgeo=1
65,Buy NIKE TANJUN Original Mens &amp; Womens Running Shoes Stability Comfortable Mesh Breathable Sneakers for Mens and Womens Shoes from #A2ZSmartstore. Shop now at https://goo.gl/yTmmw9.
66,NIKE Women's Tanjun Running Shoes http://www.amazon.com/dp/B078H4J4L6/?tag=gorilla02-20 #NIKE
67,NIKE TANJUN X OFF WHITE TRIPLE BLACK 40 41 43 EURO GRED AAA READYSTOCK RM85 Shja! 
68,YAYYYYY FOR NIKE WOMEN'S TANJUN SANDALS❤
69,NIKE Womens WMNS Tanjun Team RED White Size 7 #anastasiabrows http://sneakers.bobofindit.com/nike-womens-wmns-tanjun-team-red-white-size-7/
70,"#4: NIKE Men's Tanjun Sneakers, Breathable Textile Uppers and Comfortable Lightweight Cushioning http://dlvr.it/QbsZfh"
71,"NIKE TANJUN BLACK LIST GOLD 100% ORIGINAL BNWB READY STOCK SIZE 40-44 Rp. 385.000,00 WA 085215599955 "
72,@Nike what happened to your royal blue with orange swish Kids tanjun shoes? They were there Saturday and now gone today?
73,NIKE TANJUN X OFF WHITE TRIPLE BLACK 40 41 43 EURO GRED AAA READYSTOCK RM85 SAHAJA!! 
74,•RESTOCK• NIKE TANJUN RUN BLACK BLACK GOLD Size : 39 40 41 42 43 (Incld Half Size) Price : Rp 380.000 Condition : Brand New Replace Box (BNWB) Order Line@:… https://www.instagram.com/p/BlU-fBaBabYqShDFf0KAWR0dknE4-C6hbLy56I0/?utm_source=ig_twitter_share&amp;igshid=1l64vib6y7h0t
75,"NIKE TANJUN FULL BLACK LIST GOLD Size : 40, 41, 42, 43 (with half size) Price: IDR. 410.000,- 100% ORIGINAL Contact Admin: • WA : 085882430884 • BBM : 5BBA5D09 NO CALL, TEXT ONLY NO… https://www.instagram.com/p/BlUqbzlnU1r/?utm_source=ig_twitter_share&amp;igshid=zoz8udcq11is"
76,New & blue. Shop the Nike Tanjun: https://bit.ly/2NOJzF1
77,nike tanjun women sandals cute asfff 😉🤫
78,Someone pls tell me where I can find the Nike Tanjun sandals for cheap 🤪🤪🤪🤪
79,Swarovski Girl /Woman Nike Tanjun Blinged with SWAROVSKI® Crystals- Many Colors Ava by glitzland http://etsy.com/listing/544402119/swarovski-girl-woman-nike-tanjun-blinged?ref=shop_home_active_49#20180716015804 #offer
80,I just discovered this on Poshmark: FINAL!!!👟🎉NIKE TANJUN SHOES. https://bnc.lt/focc/CuGqNRyiBO via @poshmarkapp
81,Nike Tanjun Men's Size 9.5 Black/Black-Anthracite Athletic Running Shoes F1-242 http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&amp;toolid=10039&amp;campid=5338245860&amp;item=183327509122&amp;vectorid=229466&amp;lgeo=1
82,NIKE Toddlers Tanjun (TDV) Running Shoe - http://shoebox.henryhstevens.com/shop/nike-toddlers-tanjun-tdv-running-shoe/
83,Nike Kids' Tanjun Sneaker Shoe Grade School Shoes (Turq/White) Style 56372 - http://tinyurl.com/y8dowtnz @Prenzi
84,"i want yellow and pink crocs, yellow and pink high top vans, a pair of low top checkered vans, pink black and grey nike tanjun sandals and some more shorts, then im done shopping for summer"
85,"NIKE Men’s Tanjun Racer Running Shoe (9 D(M) US, Dark Grey/White/Black) #allmodernmakeup http://sneakers.bobofindit.com/nike-mens-tanjun-racer-running-shoe-9-dm-us-dark-grey-white-black/"
86,!Nike Tanjun Women's Shoe 2018-07-14 21:05:39 https://www.theclosetinc.com/products/nike-tanjun-womens-shoe-1
87,"I really want some Nike Tanjun sandals, someone wanna be generous enough to get them for me 😭😩"
88,Check out what I just added to my closet on Poshmark: Nike Women’s Tanjun Shoes. https://poshmark.com/listing/5b49340534a4ef8520be9823?utm_campaign=referral_code%3DERICATANNER29&amp;utm_content=feature%3Dsh_l%26rfuid%3D5225680cd00cbf10a60a5405%26ext_trk%3Dbranch&amp;utm_source=tw_sh_pub via @poshmarkapp #shopmycloset
89,Nike Tanjun Black White ORIGINAL Made in Indonesia Brand New Replace Box (BNWB) Store Price IDR 899K Our Price IDR 399K Size 40 41 42 43 Free Ongkir Bandung &amp; Jabodetabek For Order : Wa: 082127799013 Line: @ymj6300d
90,Sepatu Nike Tanjun Black And White 100% Original BNWB 
91,Men’s Nike Tanjun Racers for just $37.48! Reg. $70! http://thecouponcaroline.com/mens-nike-tanjun-racers-for-just-37-48-reg-70/
92,@Nike I just bought some Tanjun runners for my girlfriend 4-5 months ago and both shoes have a hole above the toes. And I checked she def cuts her toe nails.
93,Check out what I just added to my closet on Poshmark: Nike Tanjun size 8 fuchsia with Swarovski details. https://poshmark.com/listing/5b46999a619745ed19553314?utm_campaign=referral_code%3DHARRIETANDHAZEL&amp;utm_content=feature%3Dsh_l%26rfuid%3D52fed90525cab709de007c33%26ext_trk%3Dbranch&amp;utm_source=tw_sh_pub via @poshmarkapp #shopmycloset
94,I need the Nike tanjun sandals or chacos in my life asap
95,"Nike Trainers men's Tanjun 3 different colours All Black , Black white, Grey White contact alan@europa-sports.com £39.95 "
96,Nike Trainers men's TANJUN special offer £39.95 all sizes available contact alan@Europa-sports.com 
97,The NIKE Tanjun...need we say more? #nike #tanjun #sneakers #footwear #essential #shoes #kicks
98,Nike Tanjun Pink Condition : BNWB Size : 37-40 Price : Rp. 350.000 
99,•RESTOCK• NIKE TANJUN RUN BLACK BLACK GOLD Size : 39 40 41 42 43 44 (Incld Half Size) Price : Rp 380.000 Condition : Brand New Replace Box (BNWB) Order Line@:… https://www.instagram.com/p/BlC2uWnnWsqHkKGQR8FMsFPWfpmxYKMi9kTN780/?utm_source=ig_twitter_share&amp;igshid=1ida42t23pl9g
100,STOCKCSS Nike Tanjun Eng Soft Grey/Ftwr White Available : 36 / 37 / 38 / 39 / 40 Rp.475.000 CONDITION : BNWB REPLACE BOX &amp; 💯ORIGINALS ORDER VIA • LINE@- @ZGW3021X • LINE -… https://www.instagram.com/p/BlC0wemB3G5/?utm_source=ig_twitter_share&amp;igshid=1bcgxzjw5qti6
101,Nike Men’s Tanjun SE Casual Sneakers + $10 Macy’s eGift Card $37.50 after Slickdeals Rebate + Free S/H on $49+ http://bit.ly/2u9pqRC
102,Nike Men’s Tanjun SE Casual Sneakers + $10 Macy’s eGift Card $37.50 after Slickdeals Rebate + Free S/H on $49+ http://bit.ly/2u9pqRC
103,i just ordered some nike tanjun sandals and i’m so excited
104,Nike Men's Tanjun SE Casual Sneakers + $10 Macy's eGift Card $37.50 after Slickdeals Rebate + Free S/H on $49+ https://ift.tt/2z8KyfR #Slickdeals https://ift.tt/2L2eko6
105,917537 600 - WOMEN'S NIKE TANJUN PREM RED http://dlvr.it/QZywYP
106,Nike Men's Tanjun SE Casual Sneakers + $10 Macy's eGift Card $37.50 after Slickdeals Rebate + Free S/H https://slickdeals.net/f/11764087-nike-men-s-tanjun-se-casual-sneakers-10-macy-s-egift-card-37-50-after-slickdeals-rebate-free-s-h-on-49?utm_campaign=402543&amp;utm_medium=fptweet&amp;utm_source=twitter
107,•RESTOCK• NIKE TANJUN RUN BLACK WHITE Size : 37 38 39 40 41 42 43 44 (Incld Half Size) Price : Rp 350.000 Condition : Brand New Replace Box (BNWB) Order Line@… https://www.instagram.com/p/BlAu9GJH_9UcZGY9DWVPencX1G3TS3JBEJooRs0/?utm_source=ig_twitter_share&amp;igshid=1f4xg76n0es7k
108,•RESTOCK• NIKE TANJUN RUN FULL BLACK Size : 39 40 41 42 43 44 (Incld Half Size) Price : Rp 350.000 Condition : Brand New Replace Box (BNWB) Order Line@:… https://www.instagram.com/p/BlAgJxYnHlfDKjbsc4GlSjQDxjwCqxtUktUoRA0/?utm_source=ig_twitter_share&amp;igshid=1je4dzycfdskq
109,mady123: Nike Tanjun Childrens Trainers Only Size C12 (30) || $17.98+ $1.99 Delivery @SportsDirect http://ozb.me/1BDW
110,I own a pair and they’re so cute they’re the Nike tanjun sandals
111,Nike Tanjun Swosh Navy Condition : BNWB Size : 40-45 Price : Rp. 400.000 
112,Original!! Nike Tanjun Pink 😍👄💓💥 Size : 36-40 Price : 400.000 #nike #run #sneakersmurah https://www.instagram.com/p/BhlXYhDhB3Z/?utm_source=ig_twitter_share&amp;igshid=5im9xckg1bl2
113,Original!! Nike Tanjun Full White 👌👌👌 Size : 36-44 Price : 450.000 Order atau tanya2 cek di bio ya👆 Be a smart buyer 😊 #nike #running #sneakers #sepatuori #original @Special Region of… https://www.instagram.com/p/BhoWCOVhNL4/?utm_source=ig_twitter_share&amp;igshid=1cg7lb3mg5kx6
114,Nike Tanjun Shoes Comment down below sa mga interested buyers
115,I want some tanjun Nike sandals
116,"Why is it so hard to find the women’s Nike tanjun sandal?! Dicks, Academy, foot locker, no where has them 😩"
117,Nike Tanjun All sizes 41 to 45 avlbl Medium range...
118,Nike Tanjun Racer Team Red Black 921669-600 Men's Shoes - Multi Size http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&amp;toolid=10039&amp;campid=5338245860&amp;item=153089367167&amp;vectorid=229466&amp;lgeo=1
119,Check out what I just added to my closet on Poshmark: Nike Tanjun (GS). https://poshmark.com/listing/5b3fd7f0819e900ce86275a4?utm_campaign=referral_code%3DVALEJANDRE485&amp;utm_content=feature%3Dsh_l%26rfuid%3D5aa81373ccaf9b5df76ae925%26ext_trk%3Dbranch&amp;utm_source=tw_sh_pub via @poshmarkapp #shopmycloset
120,"*CLEARANCE SALE* nike tanjun run ""coreblack/gold/ftwwht"" original size: 36 eur s/d 45 eur (complete size) Brand new with replace box (BNWB) 100% original made in indonesia! RETAIL… https://www.instagram.com/p/Bk5UaGEh48E/?utm_source=ig_twitter_share&amp;igshid=1uienq8k2xs70 https://www.facebook.com/1149467773/posts/10216385650451062/"
121,"*CLEARANCE SALE* nike tanjun run ""coreblack/gold/ftwwht"" original size: 36 eur s/d 45 eur (complete size) Brand new with replace box (BNWB) 100% original made in indonesia! RETAIL… https://www.instagram.com/p/Bk5UaGEh48E/?utm_source=ig_twitter_share&amp;igshid=1uienq8k2xs70"
122,•RESTOCK• NIKE TANJUN RUN BLACK WHITE GOLD Size : 37 38 39 40 41 42 43 44 (Incld Half Size) Price : Rp 380.000 Condition : Brand New Replace Box (BNWB) Order… https://www.instagram.com/p/Bk5BcCvnzgd_wyM20PP8hp8yJyxPkufQVKmyLk0/?utm_source=ig_twitter_share&amp;igshid=1enqhwhma6dl1
123,Just copped the black and gray pair of Nike tanjun sandals! 😍 Now the wait. 😩
124,NEW ON EBAY US! NIKE TANJUN BLACK WHITE 812654 011 sizes 8-14 **BRAND NEW IN BOX*** https://ift.tt/2tY9CkO
125,NIKE Men's Tanjun Se Running Shoes-$49.29 https://amzn.to/2u4SCbR
126,Trying to find these Nike Tanjun sandals for a reasonable price is like pulling teeth! 🤬
127,Nike tanjun women’s all black… https://www.instagram.com/p/Bkzy-rNn2ZO/?utm_source=ig_twitter_share&amp;igshid=1791tjyj1v3hk
128,Nike Tanjun Mens Black/White is now available to purchase with free shipping BUY HERE https://buff.ly/2KvHeg3
129,#TwistdSneaks Nike Tanjun full black size 40.5 &amp; 42.5 Rp 500rb 
130,Nike Men's Tanjun SE Casual Sneakers + $10 Macy's eGift Card $37.50 after Slickdeals Rebate + Free S/H on $49+ http://dlvr.it/QZNVKY
131,Nike Men's Tanjun SE Casual Sneakers + $10 Macy's eGift Card $37.50 after Slickdeals Rebate + Free S/H on $49+ https://ift.tt/2z8KyfR #Slickdeals https://ift.tt/2NkIxQG
132,Nike Men's Tanjun SE Casual Sneakers + $10 Macy's eGift Card $37.50 after Slickdeals Rebate + Free S/H on $49+ https://slickdeals.net/f/11764087-nike-men-s-tanjun-se-casual-sneakers-3-colors-37-50-converse-men-s-chuck-taylor-high-top-camo-26-24-more-3-shipping-or-fs-on-49?utm_campaign=401319&amp;utm_medium=fptweet&amp;utm_source=twitter
133,i just ordered a pair of nike tanjun’s and i’m wayyyyy too excited 🤩❤️
134,Check out Nike Tanjun toddler 6 black running shoes 2017 VGUC sneakers tennis shoes #Nike http://www.ebay.com/itm/-/153083166779?roken=cUgayN&amp;soutkn=Gw0uLY via @eBay
135,"Nike Men’s Tanjun SE Casual Sneakers (3 colors) $37.50, Converse Men’s Chuck Taylor High Top Camo $26.24, More + $3 shipping or fs on $49+ http://bit.ly/2z9wGlq"
136,I just discovered this on Poshmark: NWT Nike Tanjun Port Wine WMNS. https://bnc.lt/focc/6MQ9ImsYfO via @poshmarkapp
137,"Nike Men’s Tanjun SE Casual Sneakers (3 colors) $37.50, Converse Men’s Chuck Taylor High Top Camo $26.24, More + $3 shipping or fs on $49+ http://bit.ly/2z9wGlq"
138,•RESTOCK• NIKE TANJUN RUN ENG FLORAL WHITE/GRY Size : 37 38 39 40 Price : Rp 399.000 Condition : Brand New Replace Box (BNWB) Order Line@: @COLLABSSTOREJKT… https://www.instagram.com/p/BkxEkIFnb1AZ9o9eiQ0vKUdpBXpuKoqGdEACmg0/?utm_source=ig_twitter_share&amp;igshid=1a9xptgt7jgfs
139,NIKE TANJUN RUN ENG ICE BLUE FLORAL (Tag Cross) FULL BLACK : 37 38 39 40 Price : Rp 399.000 Condition : Brand New Replace Box (BNWB) Order Line@:… https://www.instagram.com/p/Bkw9D0IHHdzfF2bfgqOAZUpBDqFf2uEhRYsgJc0/?utm_source=ig_twitter_share&amp;igshid=5v7l2cyr0jge
140,"Nike Womens Wmns Tanjun, BLACK/WHITE, 11 US by #NIKE for $99.44 https://amzn.to/2zbUZPY via @amazon"
